file,type,text,handler
app\admin\page.tsx,Button,verifyListing(item.id)} classN,() => verifyListing(item.id)
app\blog\page.tsx,Link,"{blog.cover_image ? (
        ",`/blog/${blog.slug
app\blog\page.tsx,Link,{cat},href
app\blog\page.tsx,Link,View all articles →,/blog
app\blog\page.tsx,Link,{page},"`/blog?${new URLSearchParams({ ...resolved, page: String(page) "
app\blog\[slug]\page.tsx,Link,Back to Blog,/blog
app\blog\[slug]\page.tsx,Link,#{tag},`/blog?tag=${encodeURIComponent(tag)
app\blog\[slug]\page.tsx,Link,"{post.cover_image ? (
        ",`/blog/${post.slug
app\dashboard\page.tsx,Button,Logout,handleLogout
app\dashboard\page.tsx,Button,"setActiveTab(""overview"")}
    ","() => setActiveTab(""overview"")"
app\dashboard\page.tsx,Button,"setActiveTab(""bids_received"")}","() => setActiveTab(""bids_received"")"
app\dashboard\page.tsx,Button,"setActiveTab(""bids_submitted"")","() => setActiveTab(""bids_submitted"")"
app\dashboard\page.tsx,Button,"setActiveTab(""unlocked_leads"")","() => setActiveTab(""unlocked_leads"")"
app\dashboard\page.tsx,Button,"setActiveTab(""performance"")}
 ","() => setActiveTab(""performance"")"
app\dashboard\page.tsx,Button,"setActiveTab(""wallet"")}
      ","() => setActiveTab(""wallet"")"
app\dashboard\page.tsx,Button,Account Settings,None
app\dashboard\page.tsx,Button,"acceptBid(bid.id)} className=""",() => acceptBid(bid.id)
app\login\page.tsx,Button,"{loading ? ""Logging in..."" : """,None
app\login\page.tsx,Form,Form Submit,handleLogin
app\login\page.tsx,Link,Forgot password?,/forgot-password
app\login\page.tsx,Link,Register here,/register
app\materials\page.tsx,Button,Search,None
app\materials\page.tsx,Button,Contact Supplier,None
app\materials\page.tsx,Form,Form Submit,None
app\materials\page.tsx,Link,"{supplier.logo ? (
           ",`/materials/${supplier.slug
app\messages\page.tsx,Button,,None
app\messages\page.tsx,Button,View Requirement,None
app\messages\page.tsx,Button,,None
app\messages\page.tsx,Button,,sendMessage
app\post-requirement\page.tsx,Button,"router.push(""/dashboard"")} cla","() => router.push(""/dashboard"")"
app\post-requirement\page.tsx,Button,"{loading ? ""Posting..."" : ""Pos",None
app\post-requirement\page.tsx,Form,Form Submit,handleSubmit
app\professionals\page.tsx,Button,Search,None
app\professionals\page.tsx,Form,Form Submit,None
app\professionals\page.tsx,Link,"{listing.cover_image ? (
     ",`/professionals/${listing.slug
app\projects\page.tsx,Button,Search,None
app\projects\page.tsx,Form,Form Submit,None
app\projects\page.tsx,Link,"{project.cover_image ? (
     ",`/projects/${project.slug
app\register\page.tsx,Button,"{loading ? ""Creating account..",None
app\register\page.tsx,Form,Form Submit,handleRegister
app\register\page.tsx,Link,Login here,/login
app\requirements\[id]\page.tsx,Button,,None
app\requirements\[id]\page.tsx,Button,,None
app\requirements\[id]\page.tsx,Button,"inviteToBid(rec.vendor_id)} 
 ",() => inviteToBid(rec.vendor_id)
app\requirements\[id]\page.tsx,Button,"setShowUnlockModal(true)}
    ",() => setShowUnlockModal(true)
app\requirements\[id]\page.tsx,Button,"setShowBidForm(true)}
        ",() => setShowBidForm(true)
app\requirements\[id]\page.tsx,Button,setShowUnlockModal(false)}>Can,() => setShowUnlockModal(false)
app\requirements\[id]\page.tsx,Button,"{unlockLoading ? ""Processing..",handleUnlockContact
app\requirements\[id]\page.tsx,Button,setShowBidForm(false)} classNa,() => setShowBidForm(false)
app\workers\page.tsx,Button,Find Workers,None
app\workers\page.tsx,Button,View Profile,None
app\workers\page.tsx,Form,Form Submit,None
app\workers\page.tsx,Link,"{worker.name.charAt(0)}
      ",`/workers/${worker.slug
components\bids\AdvancedBidForm.tsx,Button,"{loading ? ""Submitting..."" : """,None
components\bids\AdvancedBidForm.tsx,Form,Form Submit,submitBid
components\bids\BidComparisonMatrix.tsx,Button,"onAward(bid.id)}
             ",() => onAward(bid.id)
components\dashboard\WalletTab.tsx,Button,"{loading ? ""Processing..."" : """,None
components\dashboard\WalletTab.tsx,Form,Form Submit,handleRecharge
components\forms\InquiryForm.tsx,Button,"}>
        Contact Now
      
",None
components\forms\InquiryForm.tsx,Form,Form Submit,handleSubmit
components\home\CallToAction.tsx,Button,"} nativeButton={false}>
      ",None
components\home\CallToAction.tsx,Button,"} nativeButton={false}>
      ",None
components\home\Categories.tsx,Link,View All,/services
components\home\Categories.tsx,Link,"{service.icon}
              
","`/search?category=${service.name.toLowerCase().replace(/ /g, "
components\home\FeaturedPros.tsx,Link,Browse All →,/professionals
components\home\FeaturedPros.tsx,Link,"{listing.cover_image ? (
     ",`/professionals/${listing.slug
components\home\Hero.tsx,Button,GET QUOTES NOW ›,None
components\home\Hero.tsx,Button,POST NOW (It's Free),None
components\home\Hubs.tsx,Button,{hub.buttonText},None
components\home\Hubs.tsx,Link,View All,#
components\layout\Footer.tsx,Link,,#
components\layout\Footer.tsx,Link,,mailto:info@findmyinterior.com
components\layout\Footer.tsx,Link,Home,/
components\layout\Footer.tsx,Link,Interior Designers,/professionals
components\layout\Footer.tsx,Link,Builder Projects,/projects
components\layout\Footer.tsx,Link,Materials &amp; Suppliers,/materials
components\layout\Footer.tsx,Link,Skilled Workers,/workers
components\layout\Footer.tsx,Link,Blog &amp; Guides,/blog
components\layout\Footer.tsx,Link,List Your Business,/register
components\layout\Footer.tsx,Link,Vendor Login,/login
components\layout\Footer.tsx,Link,Post a Requirement,/post-requirement
components\layout\Navbar.tsx,Button,{/* Unread badge simulation */,None
components\layout\Navbar.tsx,Button,COMPARE NOW,None
components\layout\Navbar.tsx,Button,"Post Your Requirement
        ",None
components\layout\Navbar.tsx,Button,"List Your Business
           ",None
components\layout\Navbar.tsx,Button,,None
components\layout\Navbar.tsx,Link,Become a Pro,/pro
components\layout\Navbar.tsx,Link,Help & Support,/help
components\layout\Navbar.tsx,Link,"⌂
              FIND MY INTERI",/
components\layout\Navbar.tsx,Link,{/* Unread dot simulation */},/messages
components\payments\CheckoutButton.tsx,Button,"{loading ? ""Processing..."" : l",displayRazorpay
components\reviews\ReviewSection.tsx,Button,"setRating(star)} className=""fo",() => setRating(star)
components\reviews\ReviewSection.tsx,Button,"{loading ? ""Submitting..."" : """,None
components\reviews\ReviewSection.tsx,Form,Form Submit,handleSubmit
